Ambient_Temperature,Soil_Moisture,Light_Intensity,Humidity,Plant_Health_Status
22.24024536256306,27.521108772254976,556.172805131218,55.29190389508887,High Stress
21.706763280909925,14.835566151888916,596.1367212302714,63.94918051173581,High Stress
21.180945559285547,17.086361974997438,591.124626808531,67.83795648765081,High Stress
22.593301942227185,15.336156078582944,241.4124763779383,58.1908110056612,High Stress
28.929001064000246,39.82221602941021,444.4938296099551,63.77203576821832,High Stress
24.36420868878257,29.20836481534943,496.23303984208593,46.392811452098336,High Stress
23.022894958221272,16.351409451876588,454.63921437395226,56.90621179183925,High Stress
20.1991857151318,33.307696956004705,455.6989746013178,56.3262169649808,Moderate Stress
25.46764546847184,12.722726094083018,635.0570336625123,47.54417466418322,High Stress
27.63668532784915,13.244641440291131,393.2477805158376,65.61576853617763,High Stress
25.93062360229092,24.998960131191488,482.25099981750736,56.82434202030795,Moderate Stress
23.994648082601124,31.606610983776264,763.5381969363248,58.53132772714595,Healthy
19.000491563586657,23.526045611952632,436.3746794273101,57.75413529301306,Moderate Stress
19.739669989047524,21.535296059923027,724.1481606697018,47.508460278949656,Moderate Stress
26.49079136127092,23.78048857806465,561.1187449128007,45.879799050110336,Moderate Stress
27.295814207845424,28.12275833847145,515.1991467931699,52.06643944969609,Moderate Stress
19.26392676469244,22.281166928044687,800.7266096441854,45.21420851771271,Moderate Stress
23.63405834504201,15.20503814406763,423.1442154692256,40.83784536677513,High Stress
29.39285652160216,39.2429306005678,203.4998926357084,61.67028339323424,Moderate Stress
22.373446831763303,35.32985581724917,395.1885279888143,40.67374637596763,Moderate Stress
28.416181650877554,37.396984355779,735.681831364056,63.69918699110808,Healthy
20.530868169521906,37.74516990437203,472.7790052478596,47.25582510605044,Healthy
29.192802625598347,32.70184017367443,427.2720750642514,62.82887406115603,Healthy
24.28970893332943,39.446354042325694,319.4868231179959,50.56190134388186,Healthy
25.55026655290689,39.567367086043205,867.7026544748144,63.67890896461528,Healthy
24.809210954654034,29.545701066289915,923.2339881448264,42.01890238666286,Moderate Stress
26.282783845950345,15.499959079570708,677.0739745930812,40.25984233583839,High Stress
19.0296370497881,33.1564814738942,339.8834702931435,44.4687263184109,Healthy
25.182985979667865,30.79192053725144,524.9309827398718,63.92669146225151,High Stress
21.95147498004146,13.90916870441628,508.2548631737778,42.4098101037432,High Stress
18.89191428106705,19.06898516434994,867.1298681507387,59.990034181183695,High Stress
21.65353180545177,39.83876413758551,607.1387548836982,69.68726259987122,Healthy
18.2812708788201,37.70253750807224,227.57293663508003,53.78590330361981,Healthy
22.06444668918239,18.138595130038976,302.8768790319144,51.536820114820365,High Stress
22.24091207195894,31.283431483297427,297.6229175194561,50.497093713530624,Healthy
27.423014753798448,28.41588625558361,577.3716030143112,66.14889901295848,Moderate Stress
29.585600227907552,15.729236709381244,222.82530169209628,66.98353088899378,High Stress
21.532658204621857,28.08880201560132,560.0587425188842,43.6097378357978,High Stress
24.78499673558113,29.55269085194686,735.8495565491255,50.62575539060849,High Stress
22.862325240850154,13.113382850974586,576.3646454522128,67.05026738030428,High Stress
18.08769868874087,19.30080763926231,547.135861552089,44.80825005597495,High Stress
29.990886104906263,32.383672811092005,711.343799780007,68.13763607774416,Healthy
20.14741830441229,18.251686782570356,441.9643933529116,56.04820926102056,High Stress
24.98914907823128,26.53859153518153,557.6035255532602,68.02007961739261,Moderate Stress
23.87187866545604,31.56279707432933,305.33811254173867,54.47405198205696,Healthy
29.974187489793906,29.13152394775644,599.1035871738493,53.38227753497056,Moderate Stress
28.82947029607921,25.340791793058763,333.83254955220445,61.67313077821328,Moderate Stress
28.108533787137244,39.094176016080525,327.49001403413047,47.97210144844303,High Stress
18.91604672231001,13.907011533548616,547.9559147060293,44.43625970964736,High Stress
22.55603534579772,24.21651048287519,443.6550923080746,67.3530864149731,Moderate Stress
19.47115782771984,26.44054757324725,361.5600382962176,69.49187236233244,Moderate Stress
26.731841338368756,10.952615544828191,509.3614667358201,41.14323195346171,High Stress
23.641970052932823,10.41624794970261,584.9485652718583,52.438830049692434,High Stress
20.38140880639466,22.27273443109404,251.47492141119983,68.75122088338078,Moderate Stress
20.77588173051334,11.424120540996224,997.7164404842908,51.03741171594684,High Stress
25.47068861874663,19.50777936319778,841.8691015679442,60.21570423996971,High Stress
28.441287849759107,21.278934359257256,827.2890607974824,42.26880350797616,Moderate Stress
27.28844499402397,25.175474840140037,466.4701541078477,47.18723871336932,Moderate Stress
